"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER VALUES(RS.CR.)=NO. OF SHARES ENCUMBERED [X] * LAST AVAILABLE CLOSING PRICE OF THE SCRIP","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT","Values(Rs. Cr.)","BROADCAST DATE"
"NCC Limited","627846588","138136680","    22.00","489709908","0","     0.00","     0.00","0","12-Jun-2024 11:30:15","37700567","627192845","6.01","875.973","12-Jun-2024 11:30:15"
"NCL Industries Limited","45232790","19771455","    43.71","25461335","3730677","    18.87","     8.25","68.943","12-Jun-2024 11:30:31","6912380","44345580","15.59","127.741","12-Jun-2024 11:30:31"
"NDL Ventures Limited","33671621","21775491","    64.67","11896130","0","     0.00","     0.00","0","12-Jun-2024 11:30:32","120950","33041947","0.37","1.11","12-Jun-2024 11:30:32"
"NELCO Limited","22818400","11428940","    50.09","11389460","0","     0.00","     0.00","0","12-Jun-2024 11:30:06","1334030","21739006","6.14","92.602","12-Jun-2024 11:30:06"
"NHPC Limited","10045034805","6770146458","    67.40","3274888347","0","     0.00","     0.00","0","12-Jun-2024 11:30:34","162252023","10044987212","1.62","1455.401","12-Jun-2024 11:30:34"
"NIIT Limited","135065222","46893787","    34.72","88171435","0","     0.00","     0.00","0","12-Jun-2024 11:30:26","7090888","134944959","5.25","74.88","12-Jun-2024 11:30:26"
"NK Industries Limited","6009900","4403754","    73.27","1606146","0","     0.00","     0.00",,"12-Jun-2024 11:30:12","3078","5507500","0.06",,"12-Jun-2024 11:30:12"
"NLC India Limited","1386636609","1001156562","    72.20","385480047","0","     0.00","     0.00","0","12-Jun-2024 11:30:23","23835853","1384857073","1.72","543.696","12-Jun-2024 11:30:23"
"NMDC Limited","2930605850","1781633571","    60.79","1148972279","0","     0.00","     0.00","0","12-Jun-2024 11:30:33","70322731","2930525573","2.4","1418.761","12-Jun-2024 11:30:33"
"NOCIL Limited","166645705","56391184","    33.84","110254521","7391360","    13.11","     4.44","184.858","12-Jun-2024 11:30:09","19787729","165048273","11.99","494.891","12-Jun-2024 11:30:09"
"NRB Bearing Limited","96922600","49128435","    50.69","47794165","0","     0.00","     0.00","0","12-Jun-2024 11:30:23","1686161","96674590","1.74","45.198","12-Jun-2024 11:30:23"
"NRB Industrial Bearings Limited","24230650","18073093","    74.59","6157557","0","     0.00","     0.00","0","12-Jun-2024 11:30:38","44599","24135633","0.18","0.148","12-Jun-2024 11:30:38"
"NTPC Limited","9696666134","4955346251","    51.10","4741319883","0","     0.00","     0.00","0","12-Jun-2024 11:30:26","43990844","9696592621","0.45","1477.213","12-Jun-2024 11:30:26"
"Nagarjuna Fertilizers and Chemicals Limited","598065003","340862855","    56.99","257202148","296072140","    86.86","    49.51","264.985","12-Jun-2024 11:30:40","313833053","578269916","54.27","280.881","12-Jun-2024 11:30:40"
"Nagreeka Capital & Infrastructure Limited","12615300","6753159","    53.53","5862141","0","     0.00","     0.00",,"12-Jun-2024 11:30:32","86639","12146175","0.71",,"12-Jun-2024 11:30:32"
"Nagreeka Exports Limited","31249250","17910871","    57.32","13338379","0","     0.00","     0.00","0","12-Jun-2024 11:30:32","149215","31103837","0.48","0.506","12-Jun-2024 11:30:32"
"Nahar Capital and Financial Services Limited","16746167","11980946","    71.54","4765221","0","     0.00","     0.00","0","12-Jun-2024 11:30:34","654230","16602694","3.94","18.125","12-Jun-2024 11:30:34"
"Nahar Industrial Enterprises Limited","43205581","30781065","    71.24","12424516","0","     0.00","     0.00","0","12-Jun-2024 11:30:28","670021","42201654","1.59","7.605","12-Jun-2024 11:30:28"
"Nahar Poly Films Limited","24587991","17575552","    71.48","7012439","0","     0.00","     0.00","0","12-Jun-2024 11:30:31","368245","23953708","1.54","6.571","12-Jun-2024 11:30:31"
"Nahar Spinning Mills Limited","36065303","24177370","    67.04","11887933","0","     0.00","     0.00","0","12-Jun-2024 11:30:31","671124","35539289","1.89","18.023","12-Jun-2024 11:30:31"
"Nakoda Group of Industries Limited","12725142","7680142","    60.35","5045000","900000","    11.72","     7.07","4.514","12-Jun-2024 11:30:42","1309283","12725142","10.29","6.566","12-Jun-2024 11:30:42"
"Nakoda Limited","300000000","136849600","    45.62","163150400","6218400","     4.54","     2.07",,"12-Jun-2024 11:30:38","11489527","296060843","3.88",,"12-Jun-2024 11:30:38"
"Nalwa Sons Investments Limited","5136163","2856490","    55.62","2279673","0","     0.00","     0.00","0","12-Jun-2024 11:30:25","76389","4979114","1.53","25.549","12-Jun-2024 11:30:25"
"Nandan Denim Limited","144147168","93506841","    64.87","50640327","0","     0.00","     0.00","0","12-Jun-2024 11:30:38","7126146","144124528","4.94","23.017","12-Jun-2024 11:30:38"
"Nandani Creation Limited","11433950","5884100","    51.46","5549850","1339100","    22.76","    11.71","7.077","12-Jun-2024 11:30:40","2350870","11483450","20.47","12.424","12-Jun-2024 11:30:40"
"Narmada Agrobase Limited","13548714","8612514","    63.57","4936200","0","     0.00","     0.00",,"12-Jun-2024 11:30:41","118758","13548714","0.88",,"12-Jun-2024 11:30:41"
"Natco Pharma Limited","179109870","89030275","    49.71","90079595","0","     0.00","     0.00","0","12-Jun-2024 11:30:19","5333008","178652505","2.99","507.729","12-Jun-2024 11:30:19"
"Nath Bio-Genes (India) Limited","19004000","8664902","    45.60","10339098","1419000","    16.38","     7.47","24.698","12-Jun-2024 11:30:39","4198710","18720039","22.43","73.079","12-Jun-2024 11:30:39"
"National Aluminium Company Limited","1836631787","941793011","    51.28","894838776","0","     0.00","     0.00","0","12-Jun-2024 11:30:22","74586405","1835190690","4.06","1137.816","12-Jun-2024 11:30:22"
"National Fertilizers Limited","490578400","366529532","    74.71","124048868","0","     0.00","     0.00","0","12-Jun-2024 11:30:30","17730036","490314161","3.62","155.315","12-Jun-2024 11:30:30"
"Navin Fluorine International Limited","49573400","14279724","    28.81","35293676","450000","     3.15","     0.91","140.144","12-Jun-2024 11:30:32","2151566","48881492","4.4","670.062","12-Jun-2024 11:30:32"
"Navkar Corporation Limited","150519181","106039675","    70.45","44479506","0","     0.00","     0.00","0","12-Jun-2024 11:30:39","12688669","150519179","8.43","116.482","12-Jun-2024 11:30:39"
"Navneet Education Limited","226213181","143222373","    63.31","82990808","0","     0.00","     0.00","0","12-Jun-2024 11:30:16","5099715","224636598","2.27","70.249","12-Jun-2024 11:30:16"
"Nazara Technologies Limited","76541640","12577546","    16.43","63964094","0","     0.00","     0.00","0","12-Jun-2024 11:30:42","15848897","74469850","21.28","1064.174","12-Jun-2024 11:30:42"
"Nectar Lifesciences Limited","224260970","145468000","    64.87","78792970","99468000","    68.38","    44.35","299.896","12-Jun-2024 11:30:28","104591610","224259100","46.64","315.344","12-Jun-2024 11:30:28"
"Nelcast Limited","87001200","65134249","    74.87","21866951","0","     0.00","     0.00","0","12-Jun-2024 11:30:32","1478152","87001195","1.7","18.994","12-Jun-2024 11:30:32"
"Nesco Limited","70459960","48290313","    68.54","22169647","0","     0.00","     0.00","0","12-Jun-2024 11:30:34","1935213","69746950","2.77","160.768","12-Jun-2024 11:30:34"
"Network18 Media & Investments Limited","1046948519","785211389","    75.00","261737130","0","     0.00","     0.00",,"12-Jun-2024 11:30:31","108960602","1046843193","10.41",,"12-Jun-2024 11:30:31"
"Neueon Towers Limited","56544552","21074443","    37.27","35470109","21073086","    99.99","    37.27",,"12-Jun-2024 11:30:38","21604993","56227595","38.42",,"12-Jun-2024 11:30:38"
"Neuland Laboratories Limited","12829889","4200164","    32.74","8629725","0","     0.00","     0.00","0","12-Jun-2024 11:30:11","1023727","12764892","8.02","647.216","12-Jun-2024 11:30:11"
"New Delhi Television Limited","64471267","44945960","    69.71","19525307","0","     0.00","     0.00","0","12-Jun-2024 11:30:26","3124629","64444576","4.85","65.789","12-Jun-2024 11:30:26"
"Next Mediaworks Limited","66892908","50161307","    74.99","16731601","0","     0.00","     0.00","0","12-Jun-2024 11:30:24","884366","66891031","1.32","0.57","12-Jun-2024 11:30:24"
"Nilkamal Limited","14922525","9631046","    64.54","5291479","0","     0.00","     0.00","0","12-Jun-2024 11:30:15","593299","14853822","3.99","101.202","12-Jun-2024 11:30:15"
"Nippon Life India Asset Management Limited","629998730","459028095","    72.86","170970635","0","     0.00","     0.00","0","12-Jun-2024 11:30:41","3197377","631167559","0.51","150.644","12-Jun-2024 11:30:41"
"Nitco Limited","71858955","34444945","    47.93","37414010","33322465","    96.74","    46.37",,"12-Jun-2024 11:30:29","35851644","71845031","49.9",,"12-Jun-2024 11:30:29"
"Nitin Fire Protection Industries Limited","292269622","69236143","    23.69","223033479","37163888","    53.68","    12.72",,"12-Jun-2024 11:30:32","95115342","292269165","32.54",,"12-Jun-2024 11:30:32"
"Nitin Spinners Limited","56220000","31740000","    56.46","24480000","0","     0.00","     0.00","0","12-Jun-2024 11:30:28","2449661","56220000","4.36","79.577","12-Jun-2024 11:30:28"
"Noida Toll Bridge Company Limited","186195002","49095007","    26.37","137099995","0","     0.00","     0.00",,"12-Jun-2024 11:30:22","7202340","186005736","3.87",,"12-Jun-2024 11:30:22"
"Norben Tea & Exports Limited","11750000","6044759","    51.44","5705241","0","     0.00","     0.00","0","12-Jun-2024 11:30:20","27672","9344694","0.3","0.036","12-Jun-2024 11:30:20"
"Nu Tek India Limited","154518600","14694204","     9.51","139824396",,,,,"12-Jun-2024 11:30:34","1357115","153610685","0.88",,"12-Jun-2024 11:30:34"
"Nucleus Software Exports Limited","26773324","19615866","    73.27","7157458","0","     0.00","     0.00","0","12-Jun-2024 11:30:25","305629","26728337","1.14","36.214","12-Jun-2024 11:30:25"
"OM INFRA LIMITED","96303809","66531905","    69.09","29771904","0","     0.00","     0.00","0","12-Jun-2024 11:30:37","3142711","96265809","3.26","40.054","12-Jun-2024 11:30:37"
"ORIENT CERATECH LIMITED","119639200","76066129","    63.58","43573071","0","     0.00","     0.00","0","12-Jun-2024 11:30:28","1135307","119064445","0.95","5.393","12-Jun-2024 11:30:28"
"Oberoi Realty Limited","363602237","246174946","    67.70","117427291","0","     0.00","     0.00","0","12-Jun-2024 11:30:36","1257112","363602236","0.35","185.531","12-Jun-2024 11:30:36"
"Oil & Natural Gas Corporation Limited","12580279206","7408867093","    58.89","5171412113","0","     0.00","     0.00","0","12-Jun-2024 11:30:11","52581703","12576723553","0.42","1409.453","12-Jun-2024 11:30:11"
"Oil Country Tubular Limited","44289530","21799431","    49.22","22490099","14489000","    66.47","    32.71",,"12-Jun-2024 11:30:11","15477751","43005903","35.99",,"12-Jun-2024 11:30:11"
"Oil India Limited","1084405194","614376660","    56.66","470028534","0","     0.00","     0.00","0","12-Jun-2024 11:30:34","6863856","1082059295","0.63","412.003","12-Jun-2024 11:30:34"
"Olectra Greentech Limited","82080737","41053000","    50.02","41027737","0","     0.00","     0.00","0","12-Jun-2024 11:30:24","6987114","82027494","8.52","1319.551","12-Jun-2024 11:30:24"
"Omax Autos Limited","21388213","11703837","    54.72","9684376","0","     0.00","     0.00",,"12-Jun-2024 11:30:25","617666","21227565","2.91",,"12-Jun-2024 11:30:25"
"Omaxe Limited","182900540","135606918","    74.14","47293622","46485657","    34.28","    25.42","420.928","12-Jun-2024 11:30:32","39903682","182900149","21.82","361.328","12-Jun-2024 11:30:32"
"Omkar Speciality Chemicals Limited","20578004","3026761","    14.71","17551243","1717052","    56.73","     8.34",,"12-Jun-2024 11:30:37","437898","20577994","2.13",,"12-Jun-2024 11:30:37"
"OnMobile Global Limited","106214287","50923703","    47.94","55290584","0","     0.00","     0.00","0","12-Jun-2024 11:30:33","9290115","106299261","8.74","55.787","12-Jun-2024 11:30:33"
"Onelife Capital Advisors Limited","13360000","6959999","    52.10","6400001","5400000","    77.59","    40.42","16.335","12-Jun-2024 11:30:37","5585584","13359998","41.81","16.896","12-Jun-2024 11:30:37"
"Onward Technologies Limited","22519570","8583789","    38.12","13935781","0","     0.00","     0.00","0","12-Jun-2024 11:30:15","1309554","22384143","5.85","57.974","12-Jun-2024 11:30:15"
"Optiemus Infracom Limited","85857191","64300541","    74.89","21556650","0","     0.00","     0.00","0","12-Jun-2024 11:30:40","2832201","85032843","3.33","71.216","12-Jun-2024 11:30:40"
"Opto Circuits (India) Limited","300625744","55673317","    18.52","244952427","0","     0.00","     0.00",,"12-Jun-2024 11:30:25","6684009","299876158","2.23",,"12-Jun-2024 11:30:25"
"Oracle Financial Services Software Limited","86671656","63051197","    72.75","23620459","0","     0.00","     0.00","0","12-Jun-2024 11:30:24","1236239","86624640","1.43","1084.688","12-Jun-2024 11:30:24"
"Orbit Exports Limited","26423402","17511659","    66.27","8911743","0","     0.00","     0.00","0","12-Jun-2024 11:30:38","175157","26283071","0.67","2.474","12-Jun-2024 11:30:38"
"Orchid Pharma Limited","50719105","35419957","    69.84","15299148","0","     0.00","     0.00","0","12-Jun-2024 11:30:42","376960","50715590","0.74","39.387","12-Jun-2024 11:30:42"
"Oricon Enterprises Limited","157047715","105168809","    66.97","51878906","0","     0.00","     0.00","0","12-Jun-2024 11:30:39","4230765","156646044","2.7","15.358","12-Jun-2024 11:30:39"
"Orient Bell Limited","14589576","9469250","    64.90","5120326","0","     0.00","     0.00","0","12-Jun-2024 11:30:31","230293","14419837","1.6","7.995","12-Jun-2024 11:30:31"
"Orient Cement Limited","204868760","77649413","    37.90","127219347","0","     0.00","     0.00","0","12-Jun-2024 11:30:38","9769829","204273755","4.78","191.293","12-Jun-2024 11:30:38"
"Orient Electric Limited","213365899","81733294","    38.31","131632605","0","     0.00","     0.00","0","12-Jun-2024 11:30:41","2393694","212715052","1.13","46.222","12-Jun-2024 11:30:41"
"Orient Green Power Company Limited","980723977","288544007","    29.42","692179970","288308809","    99.92","    29.40",,"12-Jun-2024 11:30:36","319372819","980723268","32.57",,"12-Jun-2024 11:30:36"
"Orient Paper & Industries Limited","212185502","82193294","    38.74","129992208","0","     0.00","     0.00","0","12-Jun-2024 11:30:05","20529925","211551760","9.7","84.481","12-Jun-2024 11:30:05"
"Orient Press Limited","10000000","7300000","    73.00","2700000","0","     0.00","     0.00","0","12-Jun-2024 11:30:35","1152069","9971800","11.55","8.721","12-Jun-2024 11:30:35"
"Oriental Hotels Limited","178599180","120650243","    67.55","57948937","152320","     0.13","     0.09","1.756","12-Jun-2024 11:30:17","9530547","177193769","5.38","109.887","12-Jun-2024 11:30:17"
"Oriental Trimex Limited","29402906","8008206","    27.24","21394700","0","     0.00","     0.00",,"12-Jun-2024 11:30:31","621823","29402009","2.11",,"12-Jun-2024 11:30:31"
"Oswal Agro Mills Limited","134234776","56259376","    41.91","77975400","0","     0.00","     0.00","0","12-Jun-2024 11:30:13","5585833","117511170","4.75","23.935","12-Jun-2024 11:30:13"
"Oswal Greentech Limited","256809159","165226835","    64.34","91582324","0","     0.00","     0.00","0","12-Jun-2024 11:30:15","5073208","237597798","2.14","14.763","12-Jun-2024 11:30:15"
"PAKKA LIMITED","39168100","18720271","    47.79","20447829","15910156","    84.99","    40.62","461.554","12-Jun-2024 11:30:42","17586932","38711697","45.43","510.197","12-Jun-2024 11:30:42"
"PC Jeweller Limited","465403896","253801596","    54.53","211602300","0","     0.00","     0.00","0","12-Jun-2024 11:30:38","45529327","465403502","9.78","244.948","12-Jun-2024 11:30:38"
"PCBL LIMITED","377462604","194036210","    51.41","183426394","0","     0.00","     0.00","0","12-Jun-2024 11:30:13","25673600","375571024","6.84","687.282","12-Jun-2024 11:30:13"
"PDS Limited","131903139","86966018","    65.93","44937121","0","     0.00","     0.00","0","12-Jun-2024 11:30:39","4718743","131616576","3.59","223.385","12-Jun-2024 11:30:39"
"PG Electroplast Limited","26026245","13977355","    53.70","12048890","0","     0.00","     0.00","0","12-Jun-2024 11:30:37","1624715","26026245","6.24","270.028","12-Jun-2024 11:30:37"
"PI Industries Limited","151718118","69946138","    46.10","81771980","0","     0.00","     0.00","0","12-Jun-2024 11:30:37","1345560","151688408","0.89","520.402","12-Jun-2024 11:30:37"
"PIL ITALICA LIFESTYLE LIMITED","235000000","117716200","    50.09","117283800","0","     0.00","     0.00",,"12-Jun-2024 11:30:38","4476193","233751200","1.91",,"12-Jun-2024 11:30:38"
"PNB GILTS LTD.","180010134","133333333","    74.07","46676801","0","     0.00","     0.00","0","12-Jun-2024 11:30:23","10064817","179729666","5.6","110.31","12-Jun-2024 11:30:23"
"PNC Infratech Limited","256539165","143841000","    56.07","112698165","0","     0.00","     0.00","0","12-Jun-2024 11:30:39","1929894","256539165","0.75","84.211","12-Jun-2024 11:30:39"
"PPAP Automotive Limited","14000000","9100867","    65.01","4899133","0","     0.00","     0.00","0","12-Jun-2024 11:30:33","490797","13999906","3.51","8.572","12-Jun-2024 11:30:33"
"PTC India Financial Services Limited","642283335","417450001","    64.99","224833334","0","     0.00","     0.00",,"12-Jun-2024 11:30:37","19151760","642267117","2.98",,"12-Jun-2024 11:30:37"
"PTC India Limited","296008321","48000000","    16.22","248008321","0","     0.00","     0.00","0","12-Jun-2024 11:30:25","19481709","296004956","6.58","362.262","12-Jun-2024 11:30:25"
"PTL Enterprises Limited","132377000","92430798","    69.82","39946202",,,,,"12-Jun-2024 11:30:31","1713279","131796766","1.3","6.69","12-Jun-2024 11:30:31"
"PVP Ventures Limited","260403681","159890766","    61.40","100512915","0","     0.00","     0.00","0","12-Jun-2024 11:30:19","4407173","260120223","1.69","16.791","12-Jun-2024 11:30:19"
"PVR INOX Limited","98134446","27320076","    27.84","70814370","1440000","     5.27","     1.47","190.98","12-Jun-2024 11:30:28","3854978","98134255","3.93","511.266","12-Jun-2024 11:30:28"
"Page Industries Limited","11153874","5031410","    45.11","6122464","0","     0.00","     0.00","0","12-Jun-2024 11:30:31","45293","11153873","0.41","156.039","12-Jun-2024 11:30:31"
"Paisalo Digital Limited","898043980","585674202","    65.22","312369778","58775000","    10.04","     6.54","356.177","12-Jun-2024 11:30:37","88246735","898023970","9.83","534.775","12-Jun-2024 11:30:37"
"Palash Securities Limited","10003102","7212849","    72.11","2790253","0","     0.00","     0.00","0","12-Jun-2024 11:30:40","814218","9966665","8.17","9.612","12-Jun-2024 11:30:40"
"Panacea Biotec Limited","61250746","45073866","    73.59","16176880","0","     0.00","     0.00","0","12-Jun-2024 11:30:19","2322903","61087525","3.8","28.235","12-Jun-2024 11:30:19"
"Panama Petrochem Limited","60493598","41048702","    67.86","19444896","0","     0.00","     0.00","0","12-Jun-2024 11:30:37","1261081","60027408","2.1","41.931","12-Jun-2024 11:30:37"
"Parag Milk Foods Limited","119375841","51037450","    42.75","68338391","0","     0.00","     0.00","0","12-Jun-2024 11:30:40","11804167","119375841","9.89","245.409","12-Jun-2024 11:30:40"
"Paramount Communications Limited","303434870","149621103","    49.31","153813767","39674457","    26.52","    13.08","266.017","12-Jun-2024 11:30:30","44621170","302749149","14.74","299.185","12-Jun-2024 11:30:30"
"Paras Petrofils Limited","334221000","134865866","    40.35","199355134","0","     0.00","     0.00",,"12-Jun-2024 11:30:19","2551860","164636645","1.55",,"12-Jun-2024 11:30:19"
"Parenteral Drugs (India) Limited","29816300","21851109","    73.29","7965191","20649243","    94.50","    69.25",,"12-Jun-2024 11:30:36","20901737","29389229","71.12",,"12-Jun-2024 11:30:36"
"Parsvnath Developers Limited","435181170","288520826","    66.30","146660344","86480000","    29.97","    19.87","132.314","12-Jun-2024 11:30:30","115299734","435143436","26.5","176.409","12-Jun-2024 11:30:30"
"Pasupati Acrylon Limited","89133121","58715445","    65.87","30417676","0","     0.00","     0.00","0","12-Jun-2024 11:30:42","1438572","82813669","1.74","5.15","12-Jun-2024 11:30:42"
"Patanjali Foods Limited","361994853","267051659","    73.77","94943194",,,,,"12-Jun-2024 11:30:41","19715004","361884386","5.45","2638.656","12-Jun-2024 11:30:41"
"Patel Engineering Limited","773617228","342011952","    44.21","431605276","270363109","    79.05","    34.95","1538.366","12-Jun-2024 11:30:27","320280484","843952959","37.95","1822.396","12-Jun-2024 11:30:27"
