"SYMBOL","COMPANY","NAME(S) OF THE ACQUIRER AND ITS (PAC)","DATE OF ACQUISITION / SALE OF SHARES / VR / DATE OF RECEIPT OF INTIMATION OF","TOTAL ACQUISTION (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ ANY OTHER INSTRUMENT)","TOTAL SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","TOTAL AFTER ACQUISITION/SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","REGULATION","BROADCAST DATE/ TIME","DISSEMINATION","DIFFERENCE"
"SANGINITA","Sanginita Chemicals Limited","Dineshsinh B Chavada, Hansaben D Chavada, Vijaysinh  D Chavda","01-JUN-2024 to 01-JUN-2024","1381600",,"11781711","Reg29(2)","06-Jun-2024, 18-32","06-Jun-2024 18:34","00:01:56"
"SBCL","Shivalik Bimetal Controls Limited","M/s TSL Holdings Private Ltd","03-JUN-2024 to 03-JUN-2024","4800",,"3375400","Reg29(2)","06-Jun-2024, 18-26","06-Jun-2024 18:28","00:01:25"
"SULA","Sula Vineyards Limited","Mr. Rajeev Samant","03-JUN-2024 to 03-JUN-2024",,"251000","20753764","Reg29(2)","06-Jun-2024, 18-22","06-Jun-2024 18:24","00:01:49"
"FIEMIND","Fiem Industries Limited","Rahul Jain alongwith PACs","03-JUN-2024 to 03-JUN-2024",,"500000","2751336","Reg29(2)","06-Jun-2024, 18-18","06-Jun-2024 18:20","00:01:41"
"NIBL","NRB Industrial Bearings Limited","Anjana Milind Thakker","03-JUN-2024 to 03-JUN-2024",,"3500","310306","Reg29(2)","06-Jun-2024, 18-14","06-Jun-2024 18:16","00:01:13"
"NIBL","NRB Industrial Bearings Limited","Jasmine Sahney","03-JUN-2024 to 03-JUN-2024",,"3500","250247","Reg29(2)","06-Jun-2024, 18-12","06-Jun-2024 18:14","00:01:41"
"MANAPPURAM","Manappuram Finance Limited","V. P. Nandakumar","03-JUN-2024 to 03-JUN-2024","200000",,"245654221","Reg29(2)","06-Jun-2024, 18-09","06-Jun-2024 18:10","00:00:38"
"SHALPAINTS","Shalimar Paints Limited","Catalyst Trusteeship Limited","31-MAY-2024 to 31-MAY-2024","5747126",,"41939300","Reg29(2)","06-Jun-2024, 18-07","06-Jun-2024 18:08","00:01:02"
"PONNIERODE","Ponni Sugars (Erode) Limited","Seshasayee paper and Boards Ltd","06-JUN-2024 to 06-JUN-2024","420000",,"2781722","Reg29(2)","06-Jun-2024, 17-49","06-Jun-2024 17:50","00:00:19"
"PASHUPATI","Pashupati Cotspin Limited","Pashupati Texspin Export LLp","04-JUN-2024 to 05-JUN-2024",,"57600","1022400","Reg29(2)","06-Jun-2024, 17-28","06-Jun-2024 17:30","00:01:59"
"TEAMLEASE","Teamlease Services Limited","JP Morgan Asset Management (UK) Limited","30-MAY-2024 to 30-MAY-2024",,"18039","642055","Reg29(2)","06-Jun-2024, 17-24","06-Jun-2024 17:26","00:01:56"
"STEL","Stel Holdings Limited","Harsh Vardhan Goenka, Trustee of Secura India Trust","22-NOV-2023 to 05-JUN-2024","370773",,"12424784","Reg29(2)","06-Jun-2024, 17-19","06-Jun-2024 17:20","00:00:53"
"HGS","Hinduja Global Solutions Limited","Hinduja Group Ltd","04-JUN-2024 to 04-JUN-2024","1160000",,"17479452","Reg29(2)","06-Jun-2024, 15-28","06-Jun-2024 15:28","00:00:05"
"INOXWIND","Inox Wind Limited","Inox Wind Energy Limited","28-MAY-2024 to 28-MAY-2024",,"60000000","441073488","Reg29(2)","06-Jun-2024, 15-14","06-Jun-2024 15:14","00:00:05"
"EASTSUGIND","Eastern Sug & Inds Limited","Pardeep Garg Family Trust","29-MAY-2024 to 29-MAY-2024","57458654",,"57458654","Reg29(1)","06-Jun-2024, 15-11","06-Jun-2024 15:12","00:00:56"
"MWL","Mangalam Worldwide Limited","Om prakash Mangal","28-MAY-2024 to 28-MAY-2024",,"8400","465800","Reg29(2)","06-Jun-2024, 15-04","06-Jun-2024 15:06","00:01:49"
"STEELCITY","Steel City Securities Limited","Dr. PYLA MADHU","28-MAY-2024 to 30-MAY-2024","9400",,"65752","Reg29(2)","06-Jun-2024, 15-02","06-Jun-2024 15:04","00:01:59"
"SULA","Sula Vineyards Limited","Mr. Rajeev Samant","05-JUN-2024 to 05-JUN-2024",,"25000","20728764","Reg29(2)","06-Jun-2024, 15-01","06-Jun-2024 15:02","00:00:25"
"USHAMART","Usha Martin Limited","Nidhi Rajgarhia","30-MAY-2024 to 30-MAY-2024",,"3000","276250","Reg29(2)","06-Jun-2024, 14-59","06-Jun-2024 15:00","00:00:28"
"S&SPOWER","S&S Power Switchgears Limited","Hamilton & Co. Ltd. alongwith PACs","29-MAY-2024 to 29-MAY-2024","4377989",,"7484189","Reg29(2)","06-Jun-2024, 14-53","06-Jun-2024 14:54","00:00:43"
"AMIORG","Ami Organics Limited","Plutus Wealth Management LLP","15-NOV-2022 to 29-MAY-2024","300000","500000","2500000","Reg29(2)","06-Jun-2024, 14-50","06-Jun-2024 14:52","00:01:52"
"INFOBEAN","InfoBeans Techno. Ltd.","Siddharth Sethi","05-JUN-2024 to 05-JUN-2024","200",,"6007600","Reg29(2)","06-Jun-2024, 14-50","06-Jun-2024 14:52","00:01:51"
"INOXWIND","Inox Wind Limited","Inox Wind Energy Limited","28-MAY-2024",,"60000000","441073488","Reg29(2)","06-Jun-2024, 14-47","06-Jun-2024 14:48","00:00:47"
"REMUS","Remus Pharmaceuticals Limited","Renosen Pharmaceuticals Private Ltd","28-MAY-2024 to 28-MAY-2024","525",,"10850","Reg29(2)","06-Jun-2024, 14-45","06-Jun-2024 14:58","00:12:37"
