"SYMBOL","COMPANY","NAME(S) OF THE ACQUIRER AND ITS (PAC)","DATE OF ACQUISITION / SALE OF SHARES / VR / DATE OF RECEIPT OF INTIMATION OF","TOTAL ACQUISTION (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ ANY OTHER INSTRUMENT)","TOTAL SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","TOTAL AFTER ACQUISITION/SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","REGULATION","BROADCAST DATE/ TIME","DISSEMINATION","DIFFERENCE"
"IMFA","Indian Metals & Ferro Alloys Limited","Fox Consulting Services Pte Ltd","06-JUN-2024 to 06-JUN-2024",,"12987","0","Reg29(2)","10-Jun-2024, 15-18","10-Jun-2024 15:19","00:01:50"
"CCCL","Consolidated Construction Consortium Limited","S. Sivaramakrishnan and R. Sarabeswar","24-MAY-2024 to 24-MAY-2024","416473",,"235326353","Reg29(2)","10-Jun-2024, 13-30","10-Jun-2024 13:31","00:01:20"
"PONNIERODE","Ponni Sugars (Erode) Limited","Seshasayee paper and Boards Ltd","04-JUN-2024 to 04-JUN-2024","1102",,"2361362","Reg29(2)","10-Jun-2024, 13-19","10-Jun-2024 13:21","00:01:57"
"THOMASCOTT","Thomas Scott (India) Limited","Brijgopal bang","23-APR-2024 to 23-APR-2024","0",,"3306900","Reg29(2)","10-Jun-2024, 13-19","10-Jun-2024 13:19","00:00:50"
"PONNIERODE","Ponni Sugars (Erode) Limited","Seshasayee paper and Boards Ltd","06-JUN-2024 to 06-JUN-2024","420000",,"2781362","Reg29(2)","10-Jun-2024, 13-18","10-Jun-2024 13:19","00:01:47"
"AMIABLE","Amiable Logistics (India) Limited","Ami Mange","06-JUN-2024 to 06-JUN-2024","1600",,"398000","Reg29(2)","10-Jun-2024, 13-17","10-Jun-2024 13:17","00:00:45"
"MFSL","Max Financial Services Limited","Mirae Assete Mutual Fund","05-JUN-2024 to 05-JUN-2024",,"229800","11282239","Reg29(2)","10-Jun-2024, 13-16","10-Jun-2024 13:17","00:01:38"
"DLF","DLF Limited","Invesco Ltd","03-JUN-2024 to 03-JUN-2024",,"131675","87583304","Reg29(2)","10-Jun-2024, 13-15","10-Jun-2024 13:15","00:00:36"
"INFOBEAN","InfoBeans Techno. Ltd.","Siddharth Sethi.","04-JUN-2024 to 05-JUN-2024","200",,"6007600","Reg29(2)","10-Jun-2024, 13-14","10-Jun-2024 13:15","00:01:27"
"RGL","Renaissance Global Limited","Bhupen  C Shah","03-JUN-2024 to 03-JUN-2024","10105",,"2680000","Reg29(1)","10-Jun-2024, 13-13","10-Jun-2024 13:13","00:00:23"
"SENCO","Senco Gold Limited","Saif  Partners India IV Limited","05-JUN-2024 to 05-JUN-2024",,"2291405","5136058","Reg29(2)","10-Jun-2024, 13-12","10-Jun-2024 13:13","00:01:13"
"SUULD","Suumaya Industries Limited","Ishita Mahesh Gala","03-JUN-2024 to 03-JUN-2024",,"185018","3840960","Reg29(2)","10-Jun-2024, 13-11","10-Jun-2024 13:13","00:02:01"
"BCLIND","Bcl Industries Limited","Sara Garg","04-JUN-2024 to 04-JUN-2024","4000000",,"6000000","Reg29(2)","10-Jun-2024, 13-11","10-Jun-2024 13:11","00:00:47"
"INFOBEAN","InfoBeans Techno. Ltd.","Priyansh Jain","06-JUN-2024 to 06-JUN-2024","1700000",,"1700000","Reg29(2)","10-Jun-2024, 12-57","10-Jun-2024 12:57","00:00:51"
"SEAMECLTD","Seamec Limited","HAL Offshore Limited alongwith PAC","07-JUN-2024 to 07-JUN-2024","4000",,"17889694","Reg29(2)","10-Jun-2024, 12-38","10-Jun-2024 12:39","00:01:26"
"TIJARIA","Tijaria Polypipes Limited","NAV Capital VCC - NAV Capital Emerging Star Fund","27-MAY-2024 to 27-MAY-2024","1492812",,"1492812","Reg29(1)","10-Jun-2024, 12-32","10-Jun-2024 12:33","00:01:25"
"MTARTECH","Mtar Technologies Limited","Saranya Loka Reddy alongwith PAC","08-JUN-2024 to 08-JUN-2024",,"200000","599666","Reg29(2)","10-Jun-2024, 12-12","10-Jun-2024 12:13","00:01:24"
"SULA","Sula Vineyards Limited","Mr. Rajeev Samant","07-JUN-2024 to 07-JUN-2024",,"3776","20699988","Reg29(2)","10-Jun-2024, 11-59","10-Jun-2024 11:59","00:00:14"
"NIBL","NRB Industrial Bearings Limited","Jasmine Sahney","07-JUN-2024 to 07-JUN-2024",,"2000","246447","Reg29(2)","10-Jun-2024, 11-52","10-Jun-2024 11:53","00:01:05"
"LINC","Linc Limited","Deepak Jalan","07-JUN-2024 to 07-JUN-2024",,"5000","440302","Reg29(2)","10-Jun-2024, 11-44","10-Jun-2024 11:45","00:01:50"
"LINC","Linc Limited","Suraj Mal Jalan","07-JUN-2024 to 07-JUN-2024","5000",,"5000","Reg29(2)","10-Jun-2024, 11-31","10-Jun-2024 11:31","00:00:32"
"INFOBEAN","InfoBeans Techno. Ltd.","Mitesh Bohra","06-JUN-2024 to 06-JUN-2024",,"1700000","3312650","Reg29(2)","10-Jun-2024, 11-26","10-Jun-2024 11:27","00:01:13"
"SANDHAR","Sandhar Technologies Limited","Jayant Davar","04-JUN-2024 to 04-JUN-2024","785950",,"33056928","Reg29(2)","07-Jun-2024, 18-47","07-Jun-2024 18:48","00:00:09"
"HGS","Hinduja Global Solutions Limited","Hinduja Group Ltd./Hinduja Realty Ventures Ltd","04-JUN-2024 to 04-JUN-2024",,"1160000","605862","Reg29(2)","07-Jun-2024, 18-45","07-Jun-2024 18:46","00:00:14"
"V2RETAIL","V2 Retail Limited","Vishal Waterworld Private Ltd","05-JUN-2024 to 05-JUN-2024","7082",,"18781029","Reg29(2)","07-Jun-2024, 18-44","07-Jun-2024 18:44","00:00:08"
"HERITGFOOD","Heritage Foods Limited","DSP Trustee Private Ltd on behalf of Scheme of DSP Mutual Fund","04-JUN-2024 to 04-JUN-2024",,"1035068","2508278","Reg29(2)","07-Jun-2024, 18-33","07-Jun-2024 18:34","00:00:36"
"PFOCUS","Prime Focus Limited","Sheen Metals and Finvest Private Limited","04-JUN-2024 to 04-JUN-2024",,"21100000","0","Reg29(2)","07-Jun-2024, 18-10","07-Jun-2024 18:12","00:01:14"
