"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"52","Thirumalai Chemicals Limited","TIRUMALCHM","P&F | F.A","3.27%","296.6","1,292,371"
"10","Knr Constructions Limited","KNRCON","P&F | F.A","2.97%","383.45","2,460,071"
"2","Suraj Estate Developers Ltd","SURAJEST","P&F | F.A","2.85%","395.7","274,435"
"54","JSW Infrastructure Ltd","JSWINFRA","P&F | F.A","2.73%","291.5","4,016,510"
"155","Avonmore Capital & Management Services Ltd","AVONMORE","P&F | F.A","2.59%","130.53","53,949"
"64","Mold-tek Technologies Limited","MOLDTECH","P&F | F.A","2.53%","266.84","235,065"
"101","Adf Foods Limited","ADFFOODS","P&F | F.A","2.35%","227.48","122,528"
"96","Orient Cement Limited","ORIENTCEM","P&F | F.A","2.34%","237.32","1,468,771"
"134","HDFC Nifty Small Cap 250 ETF","HDFCSML250","P&F | F.A","2.2%","170.12","328,716"
"111","Amines & Plasticizers Ltd","AMNPLST","P&F | F.A","2.14%","208.94","21,305"
"191","A2z Infra Engineering Limited","A2ZINFRA","P&F | F.A","2.09%","23.5","1,220,647"
"94","Aditya Birla Capital Ltd","ABCAPITAL","P&F | F.A","2.04%","238.99","8,803,028"
"159","Suratwwala Business Group Ltd","SBGLP","P&F | F.A","2.02%","126.78","1,558,724"
"25","Dhunseri Ventures Ltd","DVL","P&F | F.A","2.01%","350.95","35,532"
"61","BAJEL","BAJEL","P&F | F.A","1.98%","278.56","401,335"
"141","Motilal Oswal NASDAQ 100 ETF","MON100","P&F | F.A","1.9%","159.09","413,314"
"135","Rashtriya Chemicals And Fertilizers Limited","RCF","P&F | F.A","1.88%","168.9","10,593,369"
"9","Jai Corp Limited","JAICORPLTD","P&F | F.A","1.87%","388.55","3,877,372"
"169","Motilal Oswal Nifty Realty ETF","MOREALTY","P&F | F.A","1.8%","111.73","150,286"
"122","Orbit Exports Limited","ORBTEXP","P&F | F.A","1.76%","185.72","16,787"
"136","Motherson Sumi Systems Limited","MOTHERSON","P&F | F.A","1.39%","168.18","12,251,982"
"178","B. L. Kashyap And Sons Limited","BLKASHYAP","P&F | F.A","1.34%","90.46","2,353,083"
"179","Manali Petrochemicals Limited","MANALIPETC","P&F | F.A","1.3%","89.4","1,038,878"
"104","Thomas Cook  (india)  Limited","THOMASCOOK","P&F | F.A","1.23%","219.98","565,364"
"142","Spml Infra Limited","SPMLINFRA","P&F | F.A","1.22%","157.3","327,285"
"165","National Fertilizers Limited","NFL","P&F | F.A","1.22%","113.85","8,307,413"
"129","Pennar Industries Limited","PENIND","P&F | F.A","1.19%","177.05","1,802,737"
"102","Gujarat Industries Power Company Limited","GIPCL","P&F | F.A","1.12%","225.01","814,480"
"7","Ram Ratna Wires Ltd","RAMRAT","P&F | F.A","1.11%","390.4","37,043"
"53","Mahindra & Mahindra Financial Services Limited","M&MFIN","P&F | F.A","1.09%","293.3","2,858,727"
"76","Gpt Infraprojects Limited","GPTINFRA","P&F | F.A","1.05%","253","48,963"
"120","Vishnu Prakash R Punglia Ltd","VPRPL","P&F | F.A","0.96%","192.7","1,911,312"
"143","Ganges Securities Ltd","GANGESSECU","P&F | F.A","0.95%","155.8","16,046"
"114","Kesoram Industries Limited","KESORAMIND","P&F | F.A","0.83%","201.38","728,450"
"172","Madras Fertilizers Limited","MADRASFERT","P&F | F.A","0.83%","101.76","783,551"
"16","SBI ETF IT","SBIETFIT","P&F | F.A","0.79%","371.85","10,028"
"71","Dharmaj Crop Guard Ltd","DHARMAJ","P&F | F.A","0.79%","257.42","165,035"
"145","Kotak Nifty Midcap 50 ETF","MIDCAP","P&F | F.A","0.78%","155.53","22,615"
"175","Pudumjee Paper Products Limited","PDMJEPAPER","P&F | F.A","0.78%","96.9","572,794"
"22","DJ Mediaprint & Logistics Ltd","DJML","P&F | F.A","0.74%","360","11,090"
"168","Himachal Futuristic Communications Limited","HFCL","P&F | F.A","0.74%","112.4","35,013,017"
"35","Genus Power Infrastructures Limited","GENUSPOWER","P&F | F.A","0.69%","329.55","1,170,028"
"27","Nuvoco Vistas Corporation Ltd","NUVOCO","P&F | F.A","0.68%","348.95","370,191"
"42","Petronet Lng Limited","PETRONET","P&F | F.A","0.66%","322.7","2,797,924"
"5","Vishnu Chemicals Limited","VISHNU","P&F | F.A","0.65%","392","170,291"
"109","Nippon India ETF Nifty Midcap 150","MID150BEES","P&F | F.A","0.62%","209.97","288,958"
"125","20 Microns Limited","20MICRONS","P&F | F.A","0.58%","181.39","76,706"
"98","Kcp Limited","KCP","P&F | F.A","0.54%","236.2","881,865"
