"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"M&M","Mahindra & Mahindra Limited","7(2)","R. Shankar","Employees/Designated Employees","Equity Shares","10114","0",,"250","676200","Sell","Equity Shares","9864","0","05-Jun-2024","05-Jun-2024","12-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 17:22","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165691_1156711_12062024052253_WEB.xml"
"SUNTV","Sun TV Network Limited","7(2)","MR. SHANMUGASUNDARAM SELVAM","Director","Equity Shares","6811639","1.71",,"5000","3614907","Sell","Equity Shares","6806639","1.71","10-Jun-2024","10-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","BSE","-","12-Jun-2024 17:05","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165688_1156691_12062024050533_WEB.xml"
"SUNTV","Sun TV Network Limited","7(2)","MR. SHANMUGASUNDARAM SELVAM","Director","Equity Shares","6814639","1.71",,"3000","2162135","Sell","Equity Shares","6811639","1.71","07-Jun-2024","07-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","BSE","-","12-Jun-2024 17:05","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165688_1156691_12062024050533_WEB.xml"
"SUNTV","Sun TV Network Limited","7(2)","MR. SHANMUGASUNDARAM SELVAM","Director","Equity Shares","6806639","1.71",,"15000","11075761","Sell","Equity Shares","6791639","1.71","11-Jun-2024","11-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","BSE","-","12-Jun-2024 17:05","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165688_1156691_12062024050533_WEB.xml"
"PDMJEPAPER","Pudumjee Paper Products Limited","7(2)","Gautam Nandkishore Jajodia","Other","Equity Shares","75327","0.08",,"8000","803800","Sell","Equity Shares","67327","0.07","11-Jun-2024","11-Jun-2024","12-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 16:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165686_1156662_12062024044955_WEB.xml"
"CHAMBLFERT","Chambal Fertilizers & Chemicals Limited","7(2)","Alpana Juneja","Employees/Designated Employees","Equity Shares","46325","0.01",,"4825","1993425","Sell","Equity Shares","41500","0.01","24-May-2024","10-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 16:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165684_1156659_12062024044816_WEB.xml"
"CHAMBLFERT","Chambal Fertilizers & Chemicals Limited","7(2)","Alpana Juneja","Employees/Designated Employees","Equity Shares","46225","0.01",,"100","40335","Buy","Equity Shares","46325","0.01","16-May-2024","16-May-2024","11-Jun-2024","Market Purchase","-","-","0","0","0","0","NSE","-","12-Jun-2024 16:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165684_1156659_12062024044816_WEB.xml"
"KRITI","Kriti Industries (India) Limited","7(2)","KRITI NUTRIENTS LIMITED","Promoter Group","Equity Shares","132519","0.27",,"65000","9047344","Buy","Equity Shares","197519","0.4","10-Jun-2024","10-Jun-2024","11-Jun-2024","Market Purchase","-","-","0","0","0","0","NSE","-","12-Jun-2024 16:40","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165683_1156651_12062024044008_WEB.xml"
"USHAMART","Usha Martin Limited","7(2)","Suraj Ratan Lakhotia-H.U.F.","Immediate relative","Equity Shares","104000","0.03",,"25000","9169160","Sell","Equity Shares","79000","0.03","07-Jun-2024","10-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 16:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165681_1156648_12062024043641_WEB.xml"
"BOMDYEING","Bombay Dyeing & Mfg Company Limited","7(2)","THE BOMBAY BURMAH TRADING CORPORATION LIMITED","Promoters","Equity Shares","35169323","17.03",,"21400","3594558","Buy","Equity Shares","35190723","17.04","11-Jun-2024","11-Jun-2024","12-Jun-2024","Inter-se-Transfer","-","-","0","0","0","0","NSE","-","12-Jun-2024 16:13","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165679_1156631_12062024041348_WEB.xml"
"BOMDYEING","Bombay Dyeing & Mfg Company Limited","7(2)","Jer Mavis Settlement No.II","Promoter Group","Equity Shares","822500","0.4",,"21400","3574656","Sell","Equity Shares","801100","0.39","11-Jun-2024","11-Jun-2024","12-Jun-2024","Inter-se-Transfer","-","-","0","0","0","0","NSE","-","12-Jun-2024 16:13","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165679_1156631_12062024041348_WEB.xml"
"JBCHEPHARM","JB Chemicals & Pharmaceuticals Limited","7(2)","Vikrant Chandrakant Bendre","Employees/Designated Employees","Equity Shares","1450","0.01",,"1450","2726798","Sell","Equity Shares","Nil","0","10-Jun-2024","10-Jun-2024","12-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 16:03","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165676_1156619_12062024040314_WEB.xml"
"JBCHEPHARM","JB Chemicals & Pharmaceuticals Limited","7(2)","Parmeshwar Bang","Employees/Designated Employees","Equity Shares","9010","0.01",,"500","937485","Pledge Revoke","Equity Shares","9010","0.01","10-Jun-2024","10-Jun-2024","11-Jun-2024","Revokation of Pledge","-","-","0","0","0","0","NA","-","12-Jun-2024 16:03","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165676_1156619_12062024040314_WEB.xml"
"JBCHEPHARM","JB Chemicals & Pharmaceuticals Limited","7(2)","Dr. Sujay Rajhans","Employees/Designated Employees","Equity Shares","3960","0",,"3960","7555482","Pledge","Equity Shares","3960","0","12-Jun-2024","12-Jun-2024","12-Jun-2024","Pledge Creation","-","-","0","0","0","0","NA","-","12-Jun-2024 16:03","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165676_1156619_12062024040314_WEB.xml"
"JBCHEPHARM","JB Chemicals & Pharmaceuticals Limited","7(2)","Issac Lazarus Thomas","Employees/Designated Employees","Equity Shares","650","0",,"650","1240168","Pledge","Equity Shares","650","0","12-Jun-2024","12-Jun-2024","12-Jun-2024","Pledge Creation","-","-","0","0","0","0","NA","-","12-Jun-2024 16:03","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165676_1156619_12062024040314_WEB.xml"
"JBCHEPHARM","JB Chemicals & Pharmaceuticals Limited","7(2)","Shashikala Shetty","Employees/Designated Employees","Equity Shares","1874","0",,"1870","3567867","Pledge","Equity Shares","1874","0","12-Jun-2024","12-Jun-2024","12-Jun-2024","Pledge Creation","-","-","0","0","0","0","NA","-","12-Jun-2024 16:03","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165676_1156619_12062024040314_WEB.xml"
"JBCHEPHARM","JB Chemicals & Pharmaceuticals Limited","7(2)","Parmeshwar Bang","Employees/Designated Employees","Equity Shares","9010","0.01",,"500","937485","Sell","Equity Shares","8510","0.01","10-Jun-2024","10-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","-","-","12-Jun-2024 16:03","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165676_1156619_12062024040314_WEB.xml"
"BCLIND","Bcl Industries Limited","7(2)","Rajinder Mittal","Promoters","Equity Shares","44680400","15.72",,"2000000","72000000","Buy","Equity Shares","46680400","15.82","12-Jun-2024","12-Jun-2024","12-Jun-2024","Conversion of security","-","-","0","0","0","0","NA","-","12-Jun-2024 15:56","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165673_1156610_12062024035605_WEB.xml"
"BCLIND","Bcl Industries Limited","7(2)","Kushal Mittal","Promoters","Equity Shares","45883040","16.15",,"2000000","72000000","Buy","Equity Shares","47883040","16.22","12-Jun-2024","12-Jun-2024","12-Jun-2024","Conversion of security","-","-","0","0","0","0","NA","-","12-Jun-2024 15:56","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165673_1156610_12062024035605_WEB.xml"
"BCLIND","Bcl Industries Limited","7(2)","Sunita Mittal","Promoters","Equity Shares","49472970","17.41",,"2000000","72000000","Buy","Equity Shares","51472970","17.44","12-Jun-2024","12-Jun-2024","12-Jun-2024","Conversion of security","-","-","0","0","0","0","NA","-","12-Jun-2024 15:56","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165673_1156610_12062024035605_WEB.xml"
"BCLIND","Bcl Industries Limited","7(2)","Sara Garg","Promoter Group","Equity Shares","6000000","2.11",,"5000000","180000000","Buy","Equity Shares","11000000","3.73","12-Jun-2024","12-Jun-2024","12-Jun-2024","Conversion of security","-","-","0","0","0","0","NA","-","12-Jun-2024 15:56","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165673_1156610_12062024035605_WEB.xml"
"SUBEXLTD","Subex Limited","7(2)","Shrikantha Nayak G","Employees/Designated Employees","Equity Shares","69458","0.01",,"5000","140500","Sell","Equity Shares","64458","0.01","07-Jun-2024","07-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 15:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165668_1156589_12062024033551_WEB.xml"
"SAURASHCEM","Saurashtra Cement Limited","7(2)","Rakesh Kumar Jain","Employees/Designated Employees","Equity Shares","40892","0.04",,"10000","1200000","Sell","Equity Shares","30892","0.03","11-Jun-2024","11-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 15:12","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165663_1156576_12062024031227_WEB.xml"
"RAJTV","Raj Television Network Limited","7(2)","M RAJARATNAM","-","Equity Shares","5863808","11.3",,"33000","4158000","Sell","Equity Shares","5830808","11.23","10-Jun-2024","10-Jun-2024","12-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 13:57","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165659_1156542_12062024015715_WEB.xml"
"ASTRAL","Astral Limited","7(2)","Aditya Sujal Shroff","Immediate relative","Equity Shares","57800","0.02",,"4500","9825000","Sell","Equity Shares","53300","0.02","11-Jun-2024","11-Jun-2024","12-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 13:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165657_1156534_12062024013800_WEB.xml"
"ASTRAL","Astral Limited","7(2)","Sanjana Sujal Shroff","Immediate relative","Equity Shares","71000","0.03",,"2000","4324320","Sell","Equity Shares","69000","0.03","10-Jun-2024","10-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 13:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165656_1156530_12062024013550_WEB.xml"
"MAANALU","Maan Aluminium Limited","7(2)","Ashish Rajesh Jain","Director","Equity Shares","229361","0.42",,"81840","11546893","Sell","Equity Shares","229361","0.42","03-Jun-2024","11-Jun-2024","12-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 13:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165653_1156512_12062024010631_WEB.xml"
"PGEL","PG Electroplast Limited","7(2)","Ruchi Pramod Gupta","Immediate relative","Equity Shares","62396","0.24",,"2997","7178154","Buy","Equity Shares","65393","0.25","05-Jun-2024","06-Jun-2024","10-Jun-2024","Market Purchase","-","-","0","0","0","0","NSE","-","12-Jun-2024 12:25","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165651_1156457_12062024122515_WEB.xml"
"ECLERX","eClerx Services Limited","7(2)","Eclerx Employee Welfare Trust","Other","Equity Shares","720783","1.47",,"2906","6949142","Buy","Equity Shares","723689","1.48","10-Jun-2024","10-Jun-2024","11-Jun-2024","Market Purchase","-","-","0","0","0","0","NSE","-","12-Jun-2024 12:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165649_1156451_12062024122138_WEB.xml"
"TDPOWERSYS","TD Power Systems Limited","7(2)","Ramakrishna Varna","-","Equity Shares","372685","0.23",,"20200","6725472","Sell","Equity Shares","352485","0","07-Jun-2024","10-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 12:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165648_1156448_12062024122100_WEB.xml"
"TDPOWERSYS","TD Power Systems Limited","7(2)","Ramakrishna Varna","-","Equity Shares","352485","0.23",,"10000","3405034","Sell","Equity Shares","342485","0","11-Jun-2024","11-Jun-2024","12-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 12:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165648_1156448_12062024122100_WEB.xml"
"DLINKINDIA","D-Link (India) Limited","7(2)","MUKESH TIRTHDAS LULLA","Director","Equity Shares","2407853","6.78",,"80000","35473584","Sell","Equity Shares","2327853","6.56","11-Jun-2024","11-Jun-2024","12-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 12:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165644_1156444_12062024121759_WEB.xml"
"CAMS","Computer Age Management Services Limited","7(2)","Vivek Bengani","-","Equity Shares","1300","0",,"1000","3563660","Sell","Equity Shares","300","0","30-May-2024","03-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 11:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165642_1156413_12062024112130_WEB.xml"
"NCLIND","NCL Industries Limited","7(2)","BlueVally Developers (P) Ltd","Promoter Group","Equity Shares","212158","0.47",,"7327","1670000","Buy","Equity Shares","219485","0.49","10-Jun-2024","10-Jun-2024","11-Jun-2024","Off Market","-","-","0","0","0","0","NA","-","11-Jun-2024 23:58","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165639_1156365_11062024115826_WEB.xml"
"NCLIND","NCL Industries Limited","7(2)","NCL Buildtek Ltd","Promoter Group","Equity Shares","Nil","0",,"438744","100000000","Buy","Equity Shares","438744","0.97","10-Jun-2024","10-Jun-2024","11-Jun-2024","Off Market","-","-","0","0","0","0","-","-","11-Jun-2024 23:58","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165639_1156365_11062024115826_WEB.xml"
"NCLIND","NCL Industries Limited","7(2)","NCL holdings (A&S) Ltd","Promoter Group","Equity Shares","2762339","6.11",,"514384","117241094","Sell","Equity Shares","2247955","4.97","10-Jun-2024","10-Jun-2024","11-Jun-2024","Off Market","-","-","0","0","0","0","NA","-","11-Jun-2024 23:58","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165639_1156365_11062024115826_WEB.xml"
"NCLIND","NCL Industries Limited","7(2)","KALIDINDI GAUTAM","Director","Equity Shares","2405137","5.32",,"29833","6799826","Buy","Equity Shares","2434970","5.38","10-Jun-2024","10-Jun-2024","11-Jun-2024","Off Market","-","-","0","0","0","0","NA","-","11-Jun-2024 23:58","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165639_1156365_11062024115826_WEB.xml"
"NCLIND","NCL Industries Limited","7(2)","Utkal B Goradia","Director","Equity Shares","151587","0.34",,"1937","441547","Buy","Equity Shares","153524","0.34","10-Jun-2024","10-Jun-2024","11-Jun-2024","Off Market","-","-","0","0","0","0","NA","-","11-Jun-2024 23:58","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165639_1156365_11062024115826_WEB.xml"
"NCLIND","NCL Industries Limited","7(2)","Bimal V Goradia","Promoter Group","Equity Shares","344610","0.76",,"1937","441547","Buy","Equity Shares","346547","0.77","10-Jun-2024","10-Jun-2024","11-Jun-2024","Off Market","-","-","0","0","0","0","NA","-","11-Jun-2024 23:58","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165639_1156365_11062024115826_WEB.xml"
"NCLIND","NCL Industries Limited","7(2)","V.Sailaja","Promoter Group","Equity Shares","35765","0.08",,"4387","1000000","Buy","Equity Shares","40152","0.09","10-Jun-2024","10-Jun-2024","11-Jun-2024","Off Market","-","-","0","0","0","0","NA","-","11-Jun-2024 23:58","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165639_1156365_11062024115826_WEB.xml"
"NCLIND","NCL Industries Limited","7(2)","Kalidindi Roopa","Director","Equity Shares","2683193","5.93",,"8911","2031117","Buy","Equity Shares","2692104","5.95","10-Jun-2024","10-Jun-2024","11-Jun-2024","Off Market","-","-","0","0","0","0","NA","-","11-Jun-2024 23:58","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165639_1156365_11062024115826_WEB.xml"
"NCLIND","NCL Industries Limited","7(2)","K.Pooja","Director","Equity Shares","1562518","3.45",,"5811","1324680","Buy","Equity Shares","1568329","3.47","10-Jun-2024","10-Jun-2024","11-Jun-2024","Off Market","-","-","0","0","0","0","NA","-","11-Jun-2024 23:58","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165639_1156365_11062024115826_WEB.xml"
"NCLIND","NCL Industries Limited","7(2)","KALIDINDI RAVI","Director","Equity Shares","2636338","5.83",,"15497","3532377","Buy","Equity Shares","2651835","5.86","10-Jun-2024","10-Jun-2024","11-Jun-2024","Off Market","-","-","0","0","0","0","NA","-","11-Jun-2024 23:58","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165639_1156365_11062024115826_WEB.xml"
"WIPRO","Wipro Limited","7(3)","Amit Choudhary","-","ADR/GDR/FCCB","146968","0",,"73484","34115682","Sell","ADR/GDR/FCCB","73484","0","11-Jun-2024","11-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","NA","-","11-Jun-2024 22:07","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165637_1156350_11062024100712_WEB.xml"
"WIPRO","Wipro Limited","7(2)","Dinesh Chahlia","Employees/Designated Employees","ADR/GDR/FCCB","101244","0",,"37375","17179202","Sell","ADR/GDR/FCCB","63869","0","08-Jun-2024","08-Jun-2024","08-Jun-2024","ESOP","-","-","0","0","0","0","NA","-","11-Jun-2024 22:01","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165635_1156347_11062024100107_WEB.xml"
"WIPRO","Wipro Limited","7(2)","Nicolas Parmaksizian","Employees/Designated Employees","ADR/GDR/FCCB","4339","0",,"4339","2034212","Sell","ADR/GDR/FCCB","Nil","0","07-Jun-2024","07-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","NA","-","11-Jun-2024 22:01","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165635_1156347_11062024100107_WEB.xml"
"WIPRO","Wipro Limited","7(2)","Omkar Bhalchandra Nisal","Employees/Designated Employees","ADR/GDR/FCCB","5153","0",,"5153","2375121","Sell","ADR/GDR/FCCB","Nil","0","11-Jun-2024","11-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","NA","-","11-Jun-2024 22:01","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165635_1156347_11062024100107_WEB.xml"
"WIPRO","Wipro Limited","7(2)","Susan Kenniston","Employees/Designated Employees","ADR/GDR/FCCB","Nil","0",,"8292","3887459","Buy","ADR/GDR/FCCB","8292","0","08-Jun-2024","08-Jun-2024","08-Jun-2024","ESOP","-","-","0","0","0","0","NA","-","11-Jun-2024 22:01","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165635_1156347_11062024100107_WEB.xml"
"WIPRO","Wipro Limited","7(2)","Susan Kenniston","Employees/Designated Employees","ADR/GDR/FCCB","8292","0",,"3500","1608755","Sell","ADR/GDR/FCCB","4792","0","08-Jun-2024","08-Jun-2024","08-Jun-2024","ESOP","-","-","0","0","0","0","NA","-","11-Jun-2024 22:01","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165635_1156347_11062024100107_WEB.xml"
"WIPRO","Wipro Limited","7(2)","Dinesh Chahlia","Employees/Designated Employees","ADR/GDR/FCCB","Nil","0",,"101244","47465252","Buy","ADR/GDR/FCCB","101244","0","08-Jun-2024","08-Jun-2024","08-Jun-2024","ESOP","-","-","0","0","0","0","NA","-","11-Jun-2024 22:01","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165635_1156347_11062024100107_WEB.xml"
"WIPRO","Wipro Limited","7(2)","Laura Nicholson","Employees/Designated Employees","ADR/GDR/FCCB","25183","0",,"25183","11607349","Sell","ADR/GDR/FCCB","Nil","0","11-Jun-2024","11-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","NA","-","11-Jun-2024 22:01","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165635_1156347_11062024100107_WEB.xml"
"360ONE","360 ONE WAM LIMITED","7(2)","Viral Shah","Employees/Designated Employees","Equity Shares","5500","0",,"5500","4455000","Sell","Equity Shares","Nil","0","10-Jun-2024","10-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","11-Jun-2024 21:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165632_1156341_11062024091745_WEB.xml"
